80000ft	000ft
waste	"biowaste, trash, wastage, wasted, wastes, wasting"
water	"aquatic, h2o, hydro, irrigation, watering, waters"
wave	waves
wear	wearing
weather	"meteorological, climate, atmospheric, barometric"
weight	"lighter, weighted"
white	whites
width	wide
wild	vs.wild
win	"winning, wins"
wind	"vs.wind, breeze, gale"
wing	wings
wire	wires
wolbachia	wolbachias
wood	wooden
work	"working, workings, works"
worm	worms
wrestle	wrestling
yogurt	yogurts
youth	"adolescents, preadult, teenagers"
zingiber	ginger
decellular	"decellularization, decellularized"
gel	gels
